,information,name,tourism,phone,website,Latitude,Longitude,Kategorie,Beschreiung
2,,Flora,hotel,,,47.0500868,8.3077493,Beherbergung,"
Lorem ipsum dolor sit amet, consetetur sadipscing elitr, sed diam nonumy eirmod tempor invidunt
ut labore et dolore magna aliquyam erat, sed diam voluptua."
41,,Reusswehr,viewpoint,,,47.0516580,8.3027337,Aktivität,"
Lorem ipsum dolor sit amet, consetetur sadipscing elitr, sed diam nonumy eirmod tempor invidunt
ut labore et dolore magna aliquyam erat, sed diam voluptua."
53,,Felmis,hotel,+41 41 349 1919,http://www.felmis.ch/,47.0212876,8.3256501,Beherbergung,"
Lorem ipsum dolor sit amet, consetetur sadipscing elitr, sed diam nonumy eirmod tempor invidunt
ut labore et dolore magna aliquyam erat, sed diam voluptua."
54,,Eintracht,hotel,,,47.1123956,8.3876738,Beherbergung,"
Lorem ipsum dolor sit amet, consetetur sadipscing elitr, sed diam nonumy eirmod tempor invidunt
ut labore et dolore magna aliquyam erat, sed diam voluptua."
55,,Die Perle,hotel,+41 (0)41 450 12 17,https://www.dieperle.ch/,47.1120925,8.3647160,Beherbergung,"
Lorem ipsum dolor sit amet, consetetur sadipscing elitr, sed diam nonumy eirmod tempor invidunt
ut labore et dolore magna aliquyam erat, sed diam voluptua."
72,,Känzeli,viewpoint,,,47.0457421,8.4555922,Aktivität,"
Lorem ipsum dolor sit amet, consetetur sadipscing elitr, sed diam nonumy eirmod tempor invidunt
ut labore et dolore magna aliquyam erat, sed diam voluptua."
73,,Hotel Garni an der Reuss,hotel,+41 41 455 31 31,https://www.hotelanderreuss.ch,47.1240845,8.3967012,Beherbergung,"
Lorem ipsum dolor sit amet, consetetur sadipscing elitr, sed diam nonumy eirmod tempor invidunt
ut labore et dolore magna aliquyam erat, sed diam voluptua."
74,,Baumhaus,attraction,,https://www.baumhaustraum.ch/,47.1524556,8.2056008,Aktivität,"
Lorem ipsum dolor sit amet, consetetur sadipscing elitr, sed diam nonumy eirmod tempor invidunt
ut labore et dolore magna aliquyam erat, sed diam voluptua."
82,,Gasthaus zum Ochsen,hotel,+41 41 980 63 10,https://www.ochsen-grosswangen.ch/,47.1347846,8.0477613,Beherbergung,"
Lorem ipsum dolor sit amet, consetetur sadipscing elitr, sed diam nonumy eirmod tempor invidunt
ut labore et dolore magna aliquyam erat, sed diam voluptua."
87,,Kreuz,hotel,+41 41 448 12 25,,47.1224529,8.3545555,Beherbergung,"
Lorem ipsum dolor sit amet, consetetur sadipscing elitr, sed diam nonumy eirmod tempor invidunt
ut labore et dolore magna aliquyam erat, sed diam voluptua."
91,,Löwen,hotel,+41 41 440 10 58,,47.0804459,8.3378667,Beherbergung,"
Lorem ipsum dolor sit amet, consetetur sadipscing elitr, sed diam nonumy eirmod tempor invidunt
ut labore et dolore magna aliquyam erat, sed diam voluptua."
95,,Schlossmuseum Beromünster,museum,,,47.2071693,8.1904541,Aktivität,"
Lorem ipsum dolor sit amet, consetetur sadipscing elitr, sed diam nonumy eirmod tempor invidunt
ut labore et dolore magna aliquyam erat, sed diam voluptua."
101,,Mordshagel,picnic_site,,,47.2035061,7.9736912,Aktivität,"
Lorem ipsum dolor sit amet, consetetur sadipscing elitr, sed diam nonumy eirmod tempor invidunt
ut labore et dolore magna aliquyam erat, sed diam voluptua."
109,,Museggmauer,attraction,,,47.0546864,8.3056105,Aktivität,"
Lorem ipsum dolor sit amet, consetetur sadipscing elitr, sed diam nonumy eirmod tempor invidunt
ut labore et dolore magna aliquyam erat, sed diam voluptua."
111,,Kurhaus Seeblick,hotel,+41 41 392 0202,https://www.kurhaus-seeblick.ch/,47.0299234,8.4194690,Beherbergung,"
Lorem ipsum dolor sit amet, consetetur sadipscing elitr, sed diam nonumy eirmod tempor invidunt
ut labore et dolore magna aliquyam erat, sed diam voluptua."
