,name,operator,Latitude,Longitude
0,"Luzern, Kantonalbank",VBL,47.0486685,8.3060176
1,"Luzern, Pilatusplatz",PAG,47.0472663,8.3040542
2,"Inwil, Pannerhof",VBL,47.1219706,8.3469653
3,"Ballwil, Hochdorfstrasse",PAG,47.1530943,8.3170463
4,"Gelfingen, Kreisel",BSF,47.2141944,8.2654166
5,"Horw, Spier",VBL,47.0112217,8.3056045
6,"Horw, Zentrum",VBL,47.0185281,8.3105503
7,"Luzern, Kasernenplatz",PAG,47.0517242,8.3002229
8,"Emmenbrücke, Geisselermoos",PAG,47.0892722,8.2273364
9,"Altishofen, Bäckerei",PAG,47.1965264,7.9681912
10,"Emmen, Flugzeugwerke",AAGR,47.0865163,8.3095929
11,"Horw, Buholz",VBL,47.0193560,8.3285104
12,"Horw, Felmis",VBL,47.0209928,8.3261646
13,"Luzern, Giseli",VBL,47.0536200,8.3446344
14,"Ebikon, Schmiedhof",VBL,47.0769083,8.3331106
15,"Ebikon, Mühlegg",VBL,47.0727431,8.3351856
16,"Ebikon, Schlössli",Postauto Schweiz AG (PAG),47.0712122,8.3354874
17,"Adligenswil, Stuben",VBL,47.0724092,8.3497755
18,"Adligenswil, Dorf",VBL,47.0705317,8.3641704
19,"Adligenswil, Luegisland",VBL,47.0635361,8.3563198
20,"Alberswil, Unterdorf",PAG,47.1556798,8.0011703
21,"Schongau, Erlebnispark",ZVB,47.2685294,8.2703342
22,"Schüpfheim, Bahnhof",PAG,46.9499865,8.0145362
23,"Schüpfheim, Wegmattensäge",PAG,46.9364749,8.0085814
24,"Schüpfheim, Wegmattensäge",PAG,46.9350500,8.0100601
25,"Flühli LU, Usser-Lamm",PAG,46.9160964,8.0130895
26,"Flühli LU, Krutacher",PAG,46.9084488,8.0154663
27,"Flühli LU, Matzenbach",PAG,46.8930725,8.0148381
28,"Sörenberg, Hirsegg",PAG,46.8387691,8.0123753
29,"Kleinwangen, Post",ZVB,47.1958065,8.2959014
30,"Kleinwangen, Schmiede",ZVB,47.1941947,8.2936241
31,"Kleinwangen, Schmiede",ZVB,47.1948724,8.2939791
32,"Neudorf, Gormund",AAGR,47.1610674,8.2203274
33,"Neudorf, Dorf",AAGR,47.1766380,8.2090666
34,"Neudorf, Post",AAGR,47.1799269,8.2091815
35,"Beromünster, Flugplatz",AAGR,47.1913252,8.2060015
36,"Beromünster, Mooskapelle",AAGR,47.2044657,8.2003508
37,"Horw, Kirchweg",VBL,47.0209882,8.3107212
38,"Horw, Zentrum",VBL,47.0192177,8.3114907
39,"Horw, Wegscheide",VBL,47.0229078,8.3089708
40,"Sempach Stadt, Post",PAG,47.1345642,8.1918827
41,"Horw, Steinen",VBL,47.0156090,8.3027374
42,"Kriens, Rosenstrasse",VBL,47.0242323,8.3020796
43,"Kriens, Kuonimatt",VBL,47.0225726,8.3031763
44,"Horw, Bahnhof",VBL,47.0183253,8.3076236
45,"Luzern, Pilatusplatz",PAG,47.0481318,8.3047261
46,"Kriens, Nidfeld",VBL,47.0300857,8.2966217
47,"Altishofen, Unterdorf",PAG,47.2019900,7.9670699
48,"Römerswil LU, Williswil",ZVB,47.1559716,8.2519877
49,"Hochdorf, Sempachstrasse",ZVB,47.1656436,8.2887747
50,"Buchs LU, Wendeplatz",PAG,47.2017731,8.0335744
51,"Buchs LU, Eintracht",PAG,47.2056101,8.0411088
52,"Hohenrain, Landschau",ZVB,47.1805641,8.3148458
53,"Kottwil, Dorf",ARAG,47.1618842,8.0448775
54,"Wolhusen, Kreisel",ARAG,47.0592672,8.0732938
55,"Kriens, Busschleife",VBL,47.0341942,8.2772036
56,"Ruswil, Neumüli",ARAG,47.0785342,8.1348379
57,"Ruswil, Neumüli",ARAG,47.0781095,8.1359206
58,"Luzern, Tiefe",VBL,47.0409845,8.3131786
59,"Nottwil, Oberdorf",ARAG,47.1321355,8.1378147
60,"Nottwil, Abzw. Bahnhof",ARAG,47.1361021,8.1350947
61,"Grosswangen, Post",ARAG,47.1337892,8.0480773
62,"Rain, Sandblatten",AAGR,47.1261989,8.2436886
63,"Rain, Sandblatten",AAGR,47.1263260,8.2436001
64,"Rothenburg, Wegscheiden",AAGR,47.1097835,8.2565889
65,"Rothenburg, Bertiswil",AAGR,47.1014779,8.2648141
66,"Rothenburg, Eschenbachstrasse",AAGR,47.0976661,8.2711252
67,"Mauensee, Breiten",ARAG,47.1659410,8.0811393
68,"Mauensee, Dorf",ARAG,47.1677549,8.0654194
69,"Ruswil, Rebstockstrasse",ARAG,47.0826088,8.1225057
70,"Ruswil, Althus",ARAG,47.0703545,8.1027816
71,"Emmenbrücke, Sportplatz",AAGR,47.0806248,8.2819110
72,"Emmen, Kasernenstrasse",Auto AG Rothenburg (AAGR),47.0854490,8.2906016
73,"Emmen, Kasernenstrasse",AAGR,47.0851802,8.2901353
74,"Willisau, Postplatz",PAG,47.1211362,7.9925483
75,"Willisau, Bahnhof",PAG,47.1222762,7.9970804
76,"Willisau, Chrüzhof",PAG,47.1240119,7.9948134
77,"Buchrain, Sagenwald",ARAG,47.1066929,8.3436920
78,"Langnau bei Reiden, Oberdorf",AVA,47.2284117,7.9627202
79,"Sursee, Bahnhof",PAG,47.1700926,8.0987086
80,"Meggen, Obermattstrasse",VBL,47.0571185,8.3835408
81,"Gunzwil, Dorf",PAG,47.2112285,8.1794957
82,"Grosswangen, Schutz",ARAG,47.1352644,8.0411324
83,"Meggen, Klösterli",VBL,47.0491732,8.3690558
84,"Meggen, Piuskirche",VBL,47.0468391,8.3716964
85,"Meggen, Piuskirche",VBL,47.0460251,8.3722273
86,"Luzern, Casino-Palace",VBL,47.0553242,8.3184687
87,Brittnau-Wikon,SBB,47.2616893,7.9577903
88,"Luzern, Utenberg",PAG,47.0607690,8.3241766
89,"Luzern, Utenberg",PAG,47.0601833,8.3238923
90,"Luzern, Löwenplatz",VBL,47.0567690,8.3108233
91,"Luzern, Steinhofrain",VBL,47.0415457,8.2958219
92,"Horw, Felmis",VBL,47.0213600,8.3248388
93,"Root, Dorf",VBL,47.1128206,8.3880022
94,"Luzern, Kasernenplatz",PAG,47.0515590,8.3000053
95,"Luzern, Kasernenplatz",PAG,47.0520430,8.3001450
96,"Emmenbrücke, Hübeli",AAGR,47.0867961,8.2755155
97,"Sursee, Spital",PAG,47.1689192,8.1178125
98,Käppelimatt b. Willisau,PAG,47.1167560,7.9751935
99,"Menznau, Tanzeren",PAG,47.0771962,8.0382984
100,"Menznau, Untertreien",PAG,47.0733810,8.0396403
101,"Menznau, Twerenegg",PAG,47.0665985,8.0130303
102,"Ettiswil, Post",PAG,47.1479209,8.0181217
103,"Emmenbrücke Kapf, Bahnhof",AAGR,47.0914336,8.2735948
104,"Meierskappel, Dorfplatz",PAG,47.1246713,8.4432656
105,"Kriens, Bachstrasse",VBL,47.0291385,8.2761633
106,"Ebikon, Halte",VBL,47.0869615,8.3444499
107,"Buchrain, Kirchbreite",VBL,47.0940653,8.3512723
108,Stächenrain,ARAG,47.0767899,8.2241397
109,"Emmenbrücke, Lohrensäge",PAG,47.0819522,8.2525589
110,"Ruswil, Rottalcenter",ARAG,47.0825408,8.1275459
111,"Perlen, Holzplatz",VBL,47.1150835,8.3768863
112,"Emmen, Flugzeugwerke",Auto AG Rothenburg (AAGR),47.0856536,8.3093997
113,"Kriens, Josef Schryberstrasse",VBL,47.0310554,8.2724158
114,"Sempach Station, Mettenwilstr.",PAG,47.1163751,8.1994112
115,"Sempach Station, Seefeld",PAG,47.1174303,8.1993478
116,"Willisau, Geissburg",PAG,47.1165696,7.9863412
117,"Willisau, Schlossfeld",PAG,47.1165310,7.9904571
118,"Schwarzenberg LU, Ennenmatt",PAG,47.0172163,8.1733363
119,"Büron, Dorf",PAG,47.2133541,8.0948226
120,Käppelimatt b. Willisau,PAG,47.1175788,7.9765586
121,"Menznau, Höhe",PAG,47.0643248,8.0302560
122,"Hellbühl, Unter Hellbühl",ARAG,47.0714913,8.2011458
123,"Ebikon, Ottigenbühl",Verkehrsbetriebe Luzern AG (VBL),47.0883164,8.3587960
124,"Büron, Eichenmoos",PAG,47.2060215,8.1010813
125,"Büron, Eichenmoos",PAG,47.2067727,8.1001916
126,"Luzern, Würzenbach",VBL,47.0563664,8.3496764
127,"Luzern, Hubelmatt",VBL,47.0364881,8.3081473
128,"Root D4, Oberfeld",VBL,47.1031569,8.3760157
129,"Root D4, Bahnhof",AAGS,47.1045595,8.3737228
130,"Root, Ronmatt",VBL,47.1097054,8.3842994
131,"Root, Dorf",VBL,47.1129921,8.3881767
132,"Root, Wilweg",VBL,47.1157320,8.3905502
133,"Root, Schlosshof",VBL,47.1179170,8.3922061
134,"Gisikon-Root, Bahnhof",VBL,47.1213949,8.3950479
135,"Hellbühl, Post",ARAG,47.0704971,8.1969259
136,"Littau, Matt",VBL,47.0510239,8.2654222
137,"Kastanienbaum, Schiffstation",VBL,47.0081403,8.3400543
138,"Kastanienbaum, Schiffstation",VBL,47.0082621,8.3400820
139,"Kastanienbaum, Dorni",VBL,47.0090411,8.3367818
140,"Kastanienbaum, Dorni",VBL,47.0086625,8.3370774
141,"Horw, Stegen/Kirchfeld",VBL,47.0219455,8.3216733
142,"Horw, Stegen/Kirchfeld",VBL,47.0220421,8.3204077
143,"Luzern, Kantonalbank",VBL,47.0490383,8.3064822
144,"Luzern, Kantonalbank",VBL,47.0486814,8.3064039
145,"Luzern, Bundesplatz",VBL,47.0461278,8.3086226
146,"Schongau, Erlebnispark",ZVB,47.2685606,8.2712570
147,"Schongau, Kreuz",ZVB,47.2676136,8.2633475
148,"Schongau, Kreuz",ZVB,47.2677510,8.2636526
149,"Schongau, Landi",ZVB,47.2675998,8.2608823
150,"St. Urban, Birchmatt",AVA,47.2273714,7.8401810
151,"Luzern, Werkhofstrasse",VBL,47.0431682,8.3145413
152,"Luzern, Werkhofstrasse",VBL,47.0435474,8.3132029
153,"Luzern, Wartegg",VBL,47.0400777,8.3222623
154,"Luzern, Wartegg",VBL,47.0395829,8.3220005
155,"Luzern, Wartegg",VBL,47.0394189,8.3229797
156,"Luzern, Matthof",VBL,47.0351493,8.3306794
157,"Reussbühl, Frohburg",AAGR,47.0658944,8.2818459
158,"Emmen, Rüeggisingen",AAGR,47.0818363,8.2842356
159,"Emmen, Abendweg",Auto AG Rothenburg (AAGR),47.0837144,8.2866338
160,"Emmen, Abendweg",AAGR,47.0841217,8.2875848
161,"Entlebuch, Marktplatz",PAG,46.9916316,8.0654918
162,"Hasle LU, Sandboden",PAG,46.9602820,8.0528319
163,"St. Erhard, Wiberg",PAG,47.1845797,8.0720950
164,"St. Erhard, Dorf",PAG,47.1828766,8.0748335
165,"St. Erhard, Dorf",PAG,47.1829344,8.0741710
166,"Knutwil, Dorf",PAG,47.1990959,8.0724162
167,"Knutwil, alte Post",PAG,47.1969639,8.0743113
168,"Kriens, Busschleife",VBL,47.0340773,8.2772923
169,"Kriens, Busschleife",VBL,47.0340530,8.2773545
170,"Kriens, Pulvermühle",VBL,47.0338949,8.2702670
171,"Kriens, Grosshofstrasse",VBL,47.0387296,8.2977334
172,"Luzern, Paulusplatz",VBL,47.0434796,8.3036030
173,"Luzern, Bahnhof",VBL,47.0508084,8.3094697
174,"Luzern, Bahnhof",VBL,47.0509195,8.3097081
175,"Luzern, Bahnhof",VBL,47.0506359,8.3099024
